iter	MAE
1361	0.3106904069
1362	0.3106643309
1363	0.3106478847
1364	0.3106252239
1365	0.3106201219
1366	0.3106093743
1367	0.3105862631
1368	0.3105660656
1369	0.3105543045
1370	0.3105265097
1371	0.310513433
1372	0.31050273
1373	0.3104758167
1374	0.3104491775
1375	0.3104263439
1376	0.3104122784
1377	0.3104001112
1378	0.3103695814
1379	0.3103556303
1380	0.3103414929
1381	0.3103354078
1382	0.3103224184
1383	0.3103041809
1384	0.3103003984
1385	0.3102910665
1386	0.310277402
1387	0.3102410676
1388	0.310201836
1389	0.3101968118
1390	0.3101821891
1391	0.3101580653
1392	0.3101413224
1393	0.3101171572
1394	0.3101080514
1395	0.3100876748
1396	0.310064631
1397	0.3100344009
1398	0.3100156938
1399	0.3100125631
1400	0.3100030553
1401	0.3099983866
1402	0.3099825563
1403	0.3099775842
1404	0.3099582667
1405	0.3099422217
1406	0.3099262694
1407	0.3098925304
1408	0.3098845924
1409	0.3098593776
1410	0.3098343185
1411	0.3098164671
1412	0.3097991674
1413	0.309779298
1414	0.3097514122
1415	0.3097486224
1416	0.3097421565
1417	0.3097297711
1418	0.3097117793
1419	0.3096856171
1420	0.309679851
1421	0.3096658596
1422	0.3096442965
1423	0.3096412755
1424	0.3096267263
1425	0.3096145714
1426	0.3095868517
1427	0.3095496626
1428	0.3095279847
1429	0.309516213
1430	0.3095050201
1431	0.3094951959
1432	0.309476082
1433	0.3094575769
1434	0.3094399325
1435	0.3094272279
1436	0.3094137844
1437	0.3093941598
1438	0.3093808818
1439	0.3093732071
1440	0.3093634558
1441	0.309360565
1442	0.3093350238
1443	0.3093326456
1444	0.3093254983
1445	0.3093030878
1446	0.3092961809
1447	0.3092765421
1448	0.3092529719
1449	0.3092479362
1450	0.3092365813
1451	0.3092217368
1452	0.3091966344
1453	0.3091783952
1454	0.30914528
1455	0.3091076218
1456	0.3090913922
1457	0.3090773055
1458	0.3090683545
1459	0.3090533448
1460	0.3090287336
1461	0.3090172169
1462	0.3089989774
1463	0.3089850652
1464	0.3089672032
1465	0.3089513381
1466	0.3089260189
1467	0.3089108605
1468	0.3088863154
1469	0.3088724862
1470	0.3088564054
1471	0.3088135972
1472	0.3087970393
1473	0.3087686659
1474	0.3087613945
1475	0.3087077476
1476	0.3086906857
1477	0.3086781997
1478	0.3086590906
1479	0.3086512586
1480	0.3086371856
1481	0.3086096762
1482	0.3085873599
1483	0.3085617957
1484	0.308533233
1485	0.3085170087
1486	0.3084801764
1487	0.3084678084
1488	0.3084471959
1489	0.3084333886
1490	0.3084245259
1491	0.3084039862
1492	0.3083659806
1493	0.3083526707
1494	0.3083158144
1495	0.3083038065
1496	0.3082749211
1497	0.3082618847
1498	0.3082481845
1499	0.3082425955
1500	0.30821937
1501	0.3082039108
1502	0.3081988119
1503	0.3081675912
1504	0.3081645385
1505	0.3081562609
1506	0.3081300496
